Title,Genre,IMDB Rating,Rating
7:19,"Drama, History",5.9,N/A
23:59,Horror,4.6,R
9,"Animation, Action, Adventure",7.1,PG-13
21,"Crime, Drama, History",6.8,PG-13
46,"Short, Drama",7.4,Not Rated
122,"Horror, Thriller",6.0,N/A
187,"Short, Crime",N/A,N/A
706,Thriller,5.3,Not Rated
1920,"Horror, Mystery, Romance",6.4,Unrated
1922,"Crime, Drama, Horror",6.2,TV-MA
"2,215",Documentary,7.8,N/A
3022,Sci-Fi,4.5,R
Goli Soda 2,"Action, Drama",7.2,N/A
Maj Rati Keteki,Drama,7.5,N/A
Mayurakshi,Drama,7.1,N/A
"¡Ay, mi madre!",Comedy,3.8,TV-MA
Çarsi Pazar,Comedy,5.2,N/A
Ég man þig,"Drama, Horror, Mystery",6.1,Not Rated
Çok Filim Hareketler Bunlar,Comedy,4.4,N/A
Òlòturé,"Crime, Drama",5.5,TV-MA
Æon Flux,"Action, Adventure, Sci-Fi",5.5,PG-13
1 Chance 2 Dance,"Drama, Family",4.8,G
1 Mile to You,"Drama, Romance, Sport",6.3,TV-14
10 Days in Sun City,"Adventure, Comedy, Romance",5.1,N/A
10 jours en or,"Comedy, Drama",5.9,N/A
"10,000 BC","Action, Adventure, Drama",5.1,PG-13
100 Meters,"Short, Drama",N/A,N/A
100% Halal,Drama,6.6,N/A
12 Round Gun,"Drama, Sport",4.7,TV-MA
13 Sins,"Horror, Thriller",6.3,R
14 Cameras,"Crime, Drama, Horror",4.6,TV-MA
16 Blocks,"Action, Drama, Thriller",6.6,PG-13
17 Again,"Comedy, Drama, Fantasy",6.4,PG-13
1BR,"Drama, Horror, Thriller",5.8,TV-MA
1st Summoning,Horror,3.3,N/A
2 States,"Comedy, Drama, Romance",6.9,Not Rated
2036 Origin Unknown,"Action, Sci-Fi, Thriller",4.4,TV-14
20th Century Women,"Comedy, Drama",7.3,R
21,"Crime, Drama, History",6.8,PG-13
2307: Winter's Dream,Sci-Fi,3.8,N/A
24 Hours to Live,"Action, Sci-Fi, Thriller",5.8,R
25 Kille,"Comedy, Drama",5.9,N/A
26 Years,"Short, Drama, Sci-Fi",7.3,N/A
27: El club de los malditos,"Action, Comedy, Crime",3.6,N/A
27: Gone Too Soon,"Documentary, Music",4.8,TV-PG
28 Days,"Comedy, Drama",6.1,PG-13
3 Days to Kill,"Action, Drama, Thriller",6.2,PG-13
3 Generations,Drama,6.0,PG-13
3 Idiots,"Comedy, Drama",8.4,PG-13
3 Türken & ein Baby,Comedy,5.5,N/A
30 Minutes or Less,"Action, Comedy, Crime",6.1,R
365 Days,"Drama, Romance",4.7,N/A
40 Sticks,Thriller,6.6,N/A
42 Grams,"Documentary, Biography, Drama",7.0,Not Rated
48 Christmas Wishes,"Adventure, Comedy, Family, Fantasy",4.0,TV-G
L4 Lupus,Drama,N/A,N/A
4th Republic,Thriller,6.5,N/A
5 Flights Up,"Comedy, Drama",6.2,PG-13
5 to 7,"Comedy, Drama, Romance",7.1,R
50 First Dates,"Comedy, Drama, Romance",6.8,PG-13
50/50,"Comedy, Drama, Romance",7.6,R
5cm,"Short, Drama, Music",N/A,N/A
5Gang: Un Altfel de Craciun,"Action, Comedy",1.8,N/A
6 Balloons,Drama,5.9,TV-MA
6 Days,"Action, Drama, History",6.2,R
6 Underground,"Action, Thriller",6.1,R
6 Years,"Drama, Romance",5.6,Not Rated
6-5=2,"Horror, Thriller",5.9,N/A
68 Kill,"Comedy, Crime, Romance",6.1,R
7 (Seven),"Short, Sci-Fi",N/A,N/A
7 años,Drama,6.8,N/A
7 Khoon Maaf,"Drama, Mystery, Thriller",6.2,Not Rated
90 ML,Comedy,3.4,Not Rated
93 Days,Drama,6.0,TV-PG
A 2nd Chance,"Crime, Thriller",5.1,NOT RATED
A Babysitter's Guide to Monster Hunting,"Comedy, Family, Fantasy",5.4,N/A
A Bad Moms Christmas,Comedy,5.6,R
A Beautiful Life,"Drama, Romance",6.7,NOT RATED
A Billion Colour Story,Drama,8.1,N/A
A Boy Called Po,"Drama, Fantasy",6.6,PG
A Bridge Too Far,"Drama, History, War",7.4,PG
A California Christmas,"Comedy, Drama, Romance",5.8,PG-13
Cuckoo on a Choo Choo,"Comedy, Short",6.6,N/A
A Christmas Prince,"Comedy, Family, Romance",5.8,TV-PG
A Christmas Prince: The Royal Baby,"Family, Romance",5.4,TV-PG
A Christmas Prince: The Royal Wedding,"Drama, Romance",5.3,TV-PG
A Cinderella Story,"Comedy, Family, Romance",5.9,PG
A Cinderella Story: Christmas Wish,"Comedy, Family, Fantasy, Music, Romance",5.3,PG
A Clockwork Orange,"Crime, Drama, Sci-Fi",8.3,X
A Dangerous Woman,"Drama, Romance",5.8,R
A Fairly Odd Summer,"Animation, Comedy, Family, Fantasy",3.8,TV-G
A Fall from Grace,"Drama, Fantasy, Thriller",5.9,TV-MA
A Family Affair,Comedy,6.8,Passed
A Family Man,Drama,6.5,R
A Family Reunion Christmas,"Comedy, Family",5.7,N/A
A Flying Jatt,"Action, Adventure, Comedy",3.0,Not Rated
A Fortunate Man,"Short, Drama",N/A,N/A
A Futile and Stupid Gesture,"Biography, Comedy",6.8,TV-MA
A Ghost Story,"Drama, Fantasy, Romance",6.9,R
A Glimpse Inside the Mind of Charles Swan III,Comedy,4.7,R
A Go! Go! Cory Carson Christmas,"Animation, Short, Family",6.4,TV-Y
A Grand Night In: The Story of Aardman,"Documentary, History",7.6,TV-PG
A Haunted House,"Comedy, Fantasy, Horror",5.0,R
A Kid from Coney Island,"Documentary, Biography, Sport",7.1,TV-MA
A Kind of Murder,"Crime, Drama, Thriller",5.3,R
A Little Chaos,"Drama, Romance",6.5,R
A Love Story,"Short, Horror",7.8,Not Rated
A Monster Calls,"Adventure, Drama, Family",7.5,PG-13
A Most Violent Year,"Action, Crime, Drama",7.0,R
A New York Christmas Wedding,"Drama, Romance",5.4,TV-MA
A Night at the Roxbury,"Comedy, Music, Romance",6.2,PG-13
A Patch of Fog,Thriller,6.4,N/A
A Perfect Ending,"Drama, Romance",5.7,Not Rated
A Perfect Man,"Drama, Romance",5.2,R
A Princess for Christmas,"Comedy, Drama, Family, Romance",6.4,TV-G
A Queen Is Born,N/A,N/A,N/A
A Russell Peters Christmas Special,Comedy,4.1,N/A
A Scandall,Thriller,3.1,N/A
A Second Chance,"Adventure, Drama, Family",4.7,PG
A Separation,"Short, Drama",9.6,N/A
A Serious Man,"Comedy, Drama",7.1,R
A Shaun the Sheep Movie: Farmageddon,"Animation, Adventure, Comedy",6.8,G
A Silent Voice,Short,N/A,N/A
A Single Man,"Drama, Romance",7.5,R
A Sort of Homecoming,Drama,5.9,Not Rated
A Stoning in Fulham County,"Crime, Drama, Thriller",5.8,Not Rated
A StoryBots Christmas,"Family, Fantasy, Musical",6.1,N/A
Serious Games 4: A Sun with No Shadow,"Documentary, Animation, Short",7.3,N/A
A Tale of Love and Darkness,"Biography, Drama, History",6.0,PG-13
A Thin Line Between Love and Hate,"Comedy, Crime, Drama",5.7,R
A Thousand Words,"Comedy, Drama",5.9,PG-13
A Trip to Jamaica,"Comedy, Drama",5.0,N/A
A Very Country Christmas,"Family, Romance",6.1,PG
A Very Murray Christmas,"Comedy, Music, Musical",5.5,TV-MA
A Very Special Love,"Comedy, Romance",6.7,TV-PG
A Walk to Remember,"Drama, Romance",7.3,PG
A Wednesday,"Action, Crime, Drama",8.1,Not Rated
A Witches' Ball,"Adventure, Comedy, Family",5.1,PG
A Wrinkle in Time,"Adventure, Family, Fantasy",4.2,PG
A Yellow Bird,Drama,5.5,Not Rated
A.I.C.O. Incarnation,"Animation, Action, Sci-Fi",6.4,TV-14
A.M.I.,"Horror, Thriller",3.9,TV-MA
Axl Rose: The Prettiest Star,"Documentary, Biography, Music",6.9,Not Rated
Ask Tesadüfleri Sever,"Drama, Romance",7.2,N/A
Aadu 2,Comedy,7.1,N/A
Aagey Se Right,"Comedy, Crime, Drama",5.1,Not Rated
Aakhri Adaalat,"Action, Thriller",5.2,N/A
Aalorukkam,Drama,6.5,N/A
Aamir,"Action, Crime, Drama",7.7,Not Rated
Aapla Manus,"Drama, Thriller",7.1,Not Rated
Aarakshan,"Drama, Thriller",6.2,N/A
Aashayein,Drama,7.1,Not Rated
Aata Pita,Drama,6.3,Not Rated
Aaviri,"Drama, Thriller",4.2,N/A
Abby Hatcher,"Animation, Adventure, Comedy",6.2,TV-Y
Abby Sen,"Comedy, Drama, Sci-Fi",5.9,N/A
Chunar ABCD 2 Cover by Vivek Verma,Music,N/A,N/A
ABCD (Any Body Can Dance),"Drama, Music",6.3,Not Rated
Abdullah: The Final Witness,"Action, Crime, Drama",7.0,N/A
Abhinetri,"Comedy, Horror",6.0,N/A
Abominable Christmas,"Animation, Short, Adventure, Comedy, Family",5.3,Not Rated
About a Boy,"Comedy, Drama, Romance",7.1,PG-13
About Time,"Comedy, Drama, Fantasy",7.8,R
Abzurdah,"Biography, Drama, Romance",5.4,N/A
Acapulco La vida va,"Comedy, Drama",5.5,N/A
Accident,Drama,6.9,Not Rated
Across Grace Alley,"Short, Drama, Music",6.2,N/A
Across the Line,Drama,5.2,Not Rated
Across the Universe,"Drama, Fantasy, History",7.3,PG-13
Act of Valor,"Action, Adventure, Thriller",6.5,R
Act of Vengeance,"Crime, Drama, Horror",5.5,R
Action Replayy,"Comedy, Romance, Sci-Fi",4.3,TV-PG
Acts of Vengeance,"Action, Drama, Thriller",5.7,R
Acts of Violence,"Action, Crime",5.3,R
Adú,Drama,6.7,TV-MA
Adam Devine: Best Time of Our Lives,Comedy,5.8,N/A
Adam Sandler: 100% Fresh,"Comedy, Music",7.6,TV-MA
Adam: His Song Continues,"Crime, Drama",7.1,Not Rated
Nuit de la Glisse: Addicted to Life,Documentary,6.2,N/A
Aditi Mittal: Things They Wouldn't Let Me Say,Comedy,4.4,TV-MA
Adore,"Short, Romance",5.5,N/A
Adrift,"Action, Adventure, Biography",6.6,PG-13
Adrishya,"Drama, Family, Horror",3.7,N/A
Advantageous,"Drama, Family, Sci-Fi",6.2,Not Rated
Aerials,"Drama, Sci-Fi, Thriller",1.5,N/A
Afonso Padilha: Classless,Comedy,6.8,TV-MA
After,"Drama, Romance",5.3,PG-13
After We Collided,"Drama, Romance",5.2,R
Aftermath,"Drama, Thriller",5.7,R
Afterschool,"Drama, Mystery",6.1,Not Rated
Aftershock,"Action, Adventure, Horror",4.8,R
Agatha and the Truth of Murder,"Crime, Drama, Mystery",6.3,Not Rated
Age of Rebellion,"Crime, Drama, Romance",8.5,N/A
Agneepath,"Action, Crime, Drama",6.9,Not Rated
Agustín Aristarán: Soy Rada,Comedy,6.7,TV-MA
Agyaat,"Drama, Horror, Mystery",2.9,Not Rated
Ahista Ahista,"Drama, Romance",7.0,N/A
Ai Weiwei: Never Sorry,Documentary,7.6,R
Airplane Mode,Comedy,2.5,TV-MA
Aisa Yeh Jahaan,Drama,6.7,N/A
Aitraaz,"Drama, Romance, Thriller",6.6,Not Rated
Aiyaary,"Action, Drama, Thriller",5.3,Not Rated
Aiyyaa,"Comedy, Romance",4.4,Not Rated
Ajab Prem Ki Ghazab Kahani,"Action, Comedy, Romance",6.4,Not Rated
Ajji,"Crime, Drama",7.0,N/A
AK vs AK,"Action, Comedy, Crime",6.9,TV-MA
Ala Vaikunthapurramuloo,"Action, Comedy, Drama",7.3,Not Rated
Alan Saldaña: Mi vida de pobre,Comedy,6.2,N/A
Alaska Is a Drag,Drama,6.4,N/A
Albert Pinto Ko Gussa Kyun Aata Hai?,Drama,5.5,N/A
